stage,textbook_index,exam_tags,level,CEFR,主題,english_word,KK音標,中譯,例句,翻譯,例句2,翻譯2,例句3,翻譯3,例句4,翻譯4,例句5,翻譯5,Year_1,Part_1,Source_1,詞性,詞形變化,片語,同義字,反義字,易混淆字,字首,字尾,字根,意思,例子,videoUrl
國中,,,A1,,1200-時間-1,Friday,/ˋfraɪ͵de/,星期五,I always look forward to Fridays.,我總是期待星期五。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Saturday,/ˋsætɚde/,星期六,We’re going hiking on Saturday.,我們星期六要去遠足。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,Sunday,/ˋsʌnde/,星期天,We usually rest on Sunday.,我們通常在星期天休息。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,week,/wik/,週,There are seven days in a week.,一週有七天。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,weekend,/ˋwikˋɛnd/,週末,We went hiking last weekend.,上週末我們去遠足了。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,month,/mʌnθ/,月份,There are twelve months in a year.,一年有十二個月。,,,,,,,,,,,,(n.),n.複數：months,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,January,/ˋdʒænjʊ͵ɛrɪ/,一月,Her birthday is in January.,她的生日在一月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,February,/ˋfɛbrʊ͵ɛrɪ/,二月,Valentine’s Day is in February.,情人節在二月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,March,/mɑrtʃ/,三月,My birthday is in March.,我的生日在三月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,April,/ˋeprəl/,四月,My birthday is in April.,我的生日在四月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,May,/meɪ/,五月,Her birthday is in May.,她的生日在五月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-1,June,/dʒun/,六月,My wedding anniversary is in June.,我的結婚紀念日在六月。,,,,,,,,,,,,(n.),,,,,,,,,,,mzY7tAM1_0U
國中,,,A1,,1200-時間-2,July,/dʒuˋlaɪ/,七月,We’re going on vacation in July.,我們將在七月去度假。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,August,/ɔˋgʌst/,八月,Her vacation starts in August.,她的假期從八月開始。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,September,/sɛpˋtɛmbɚ/,九月,School starts again in September.,學校九月再次開學。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,October,/ɑkˋtobɚ/,十月,Halloween is celebrated in October.,萬聖節在十月慶祝。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,November,/noˋvɛmbɚ/,十一月,Thanksgiving is celebrated in November in the US.,感恩節在美國於十一月慶祝。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,December,/dɪˋsɛmbɚ/,十二月,Christmas is in December.,聖誕節在十二月。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,B1,,1200-時間-2,season,/ˋsizn/,季節,My favorite season is summer.,我最喜歡的季節是夏天。,,,,,,,,,,,,(n.),n.複數：seasons,,,,,,,,,,AWhqCJ_d19o
國中,,,A2,,1200-時間-2,spring,/sprɪŋ/,春天,Flowers bloom in the spring.,花朵在春天綻放。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,summer,/ˋsʌmɚ/,夏天,I love swimming in the summer.,我喜歡夏天游泳。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,winter,/ˋwɪntɚ/,冬天,Winter is my favorite season.,冬天是我最喜歡的季節。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,,,1200-時間-2,autumn (fall),/ˈɔtəm/,秋天,The leaves turn yellow in autumn.,秋天時，樹葉變黃了。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,clock,/klɑk/,時鐘,The clock struck twelve.,時鐘敲響了十二下。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,watch,/wɑtʃ/,手錶,He bought a new watch for his birthday.,他生日時買了一隻新手錶。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,a.m.,[ˌeˈɛm],上午;凌晨,I leave home at 7:30 a.m. every day.,我每天早上七點半出門。,,,,,,,,,,,,(adv.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,p.m.,[ˌpiˈɛm],下午;晚上,The meeting starts at 7:00 p.m.,會議在晚上七點開始。,,,,,,,,,,,,(adv.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,half,/hæf/,一半的,The pizza was cut in half.,披薩被切成兩半。,,,,,,,,,,,,(adj.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,hour,/aʊr/,小時,The meeting lasted for two hours.,會議持續了兩個小時。,,,,,,,,,,,,(n.),n.複數：hours,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,minute,/ˋmɪnɪt/,分,The meeting will start in ten minutes.,會議將在十分鐘後開始。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A2,,1200-時間-2,moment,/ˋmomənt/,片刻,"Wait a moment, please.",請稍等片刻。,,,,,,,,,,,,(n.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-2,o'clock,/əˋklɑk/,…點鐘,It’s three o’clock in the afternoon.,現在是下午三點鐘。,,,,,,,,,,,,(adv.),,,,,,,,,,,AWhqCJ_d19o
國中,,,A1,,1200-時間-3,past,/pæst/,過去的,"In the past, people traveled by horse.",過去，人們靠馬出行。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,quarter,/ˋkwɔrtɚ/,四分之一,A quarter of the students passed the test.,四分之一的學生通過了考試。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,second,/ˋsɛkənd/,第二的,He came in second place in the race.,他在比賽中獲得第二名。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,time,/taɪm/,時間,Time flies when you’re having fun.,快樂的時光總是飛逝。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,ago,/əˋgo/,…之前,He left five minutes ago.,他五分鐘前離開了。,,,,,,,,,,,,(adv.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,already,/ɔlˋrɛdɪ/,已經,The train has already left.,火車已經開走了。,,,,,,,,,,,,(adv.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,early,/ˋɝlɪ/,早的,We woke up early to catch the train.,我們早起趕火車。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,last,/læst/,最後的,She was the last person to leave the party.,她是派對上最後一個離開的人。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,late,/let/,晚的,Don’t be late for the meeting.,不要遲到會議。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,later,/ˋletɚ/,稍晚的,Let’s meet again later.,我們稍後再見。,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,next,/nɛkst/,下一個的,What are you doing next weekend?,你下週末打算做什麼？,,,,,,,,,,,,(adj.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,now,/naʊ/,現在,What are you doing right now?,你現在正在做什麼？,,,,,,,,,,,,(adv.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,once,/wʌns/,一次,I’ve only been to Paris once.,我只去過巴黎一次。,,,,,,,,,,,,(adv.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,future,/ˋfjutʃɚ/,未來,The future looks bright for the young generation.,對年輕一代來說，未來看起來很光明。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A2,,1200-時間-3,soon,/sun/,不久,I’ll be there soon.,我很快就到那裡。,,,,,,,,,,,,(adv.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,today,/təˋde/,今天,Today is a sunny day.,今天是個晴朗的日子。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,tonight,/təˋnaɪt/,今晚,We’re going to a concert tonight.,我們今晚要去聽音樂會。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,tomorrow,/təˋmɔro/,明天,I’ll see you tomorrow morning.,我明天早上見你。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,year,/jɪr/,年,A year has 365 days.,一年有365天。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,yesterday,/ˋjɛstɚde/,昨天,I saw her yesterday at the park.,我昨天在公園看到她了。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-時間-3,day,/de/,一天,I go to school every day.,我每天都去上學。,,,,,,,,,,,,(n.),,,,,,,,,,,hN-geJUNaNc
國中,,,A1,,1200-動物與昆蟲-1,animal,/ˋænəm!/,動物,The zoo has many different animals.,動物園裡有許多不同的動物。,,,,,,,,,,,,(n.),n.複數：animals,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,bear,/bɛr/,熊,The bear was sleeping in its cave.,熊正在洞穴裡睡覺。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,cat,/kæt/,貓,The cat slept on the sofa all day.,貓整天睡在沙發上。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,chicken,/ˋtʃɪkɪn/,雞,We had roast chicken for dinner.,我們晚餐吃了烤雞。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,cow,/kaʊ/,母牛,The farmer milked the cow.,農民擠了牛奶。,,,,,,,,,,,,(n.),n.複數：cows,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,dog,/dɔg/,狗,The dog wagged its tail when it saw its owner.,狗看到主人時搖了搖尾巴。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,duck,/dʌk/,鴨子,The duck swam in the pond.,鴨子在池塘裡游泳。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,elephant,/ˋɛləfənt/,大象,The elephant is the largest land animal.,大象是最大的陸地動物。,,,,,,,,,,,,(n.),n.複數：elephants,,,,,,,,,,Vmx0pA2kFjs
國中,,,B2,,1200-動物與昆蟲-1,fox,/fɑks/,狐狸,The fox is known for its cleverness.,狐狸以其聰明而聞名。,,,,,,,,,,,,(n.),n.複數：foxes,,,,,,,,,,Vmx0pA2kFjs
國中,,,B1,,1200-動物與昆蟲-1,frog,/frɑg/,青蛙,The frog jumped into the pond.,青蛙跳進了池塘。,,,,,,,,,,,,(n.),n.複數：frogs,,,,,,,,,,Vmx0pA2kFjs
國中,,,B1,,1200-動物與昆蟲-1,goat,/got/,山羊,The farmer has several goats on his farm.,農夫的農場上有幾隻山羊。,,,,,,,,,,,,(n.),n.複數：goats,,,,,,,,,,Vmx0pA2kFjs
國中,,,,,1200-動物與昆蟲-1,goose,/gus/,鵝,The goose honked loudly as it flew overhead.,鵝飛過頭頂時大聲鳴叫。,,,,,,,,,,,,(n.),n.複數：geese,,,,,,,,,,Vmx0pA2kFjs
國中,,,,,1200-動物與昆蟲-1,hen,/hɛn/,母雞,The hen laid an egg this morning.,母雞今天早上下了一顆蛋。,,,,,,,,,,,,(n.),n.複數：hens,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,horse,/hɔrs/,馬,The farmer rode his horse to the market.,農夫騎馬去市場。,,,,,,,,,,,,(n.),n.複數：horses,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,lion,/ˋlaɪən/,獅子,The lion roared loudly.,獅子大聲吼叫。,,,,,,,,,,,,(n.),n.複數：lions,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,monkey,/ˋmʌŋkɪ/,猴子,The monkey swung from tree to tree.,猴子從一棵樹跳到另一棵樹。,,,,,,,,,,,,(n.),n.複數：monkeys,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-1,mouse,/maʊs/,老鼠,The cat chased the mouse around the house.,貓在房子裡追老鼠。,,,,,,,,,,,,(n.),n.複數：mice,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,pet,/pɛt/,寵物,Her pet dog follows her everywhere.,她的寵物狗跟著她到處走。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A1,,1200-動物與昆蟲-1,pig,/pɪg/,豬,The farmer raised pigs on his farm.,農夫在他的農場養豬。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,B1,,1200-動物與昆蟲-1,puppy,/ˋpʌpɪ/,小狗,The puppy followed its owner everywhere.,小狗跟著主人到處走。,,,,,,,,,,,,(n.),,,,,,,,,,,Vmx0pA2kFjs
國中,,,A2,,1200-動物與昆蟲-2,rabbit,/ˋræbɪt/,兔子,The rabbit hopped through the garden.,兔子跳過了花園。,,,,,,,,,,,,(n.),n.複數：rabbits,,,,,,,,,,GiuSFyZJ37w
國中,,,A2,,1200-動物與昆蟲-2,rat,/ræt/,老鼠,There was a rat in the kitchen last night.,昨晚廚房裡有一隻老鼠。,,,,,,,,,,,,(n.),n.複數：rats,,,,,,,,,,GiuSFyZJ37w
國中,,,A1,,1200-動物與昆蟲-2,sheep,/ʃip/,羊,The farmer raised sheep for wool.,農夫養羊取羊毛。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,tiger,/ˋtaɪgɚ/,老虎,The tiger roared loudly in the jungle.,老虎在叢林中大聲吼叫。,,,,,,,,,,,,(n.),n.複數：tigers,,,,,,,,,,GiuSFyZJ37w
國中,,,B2,,1200-動物與昆蟲-2,zebra,[`zibrə],斑馬,A zebra has black and white stripes.,斑馬有黑白相間的條紋。,,,,,,,,,,,,(n.),"n.複數：zebras, zebra",,,,,,,,,,GiuSFyZJ37w
國中,,,A2,,1200-動物與昆蟲-2,insect,/ˋɪnsɛkt/,昆蟲,Ants are a type of small insect.,螞蟻是一種小型昆蟲。,,,,,,,,,,,,(n.),n.複數：insects,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,ant,/ænt/,螞蟻,The ant carried a piece of food.,螞蟻搬運著一塊食物。,,,,,,,,,,,,(n.),n.複數：ants,,,,,,,,,,GiuSFyZJ37w
國中,,,A1,,1200-動物與昆蟲-2,bat,/bæt/,蝙蝠,Bats fly at night.,蝙蝠在夜間飛行。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,bee,/bi/,蜜蜂,Bees collect nectar from flowers.,蜜蜂從花中採集花蜜。,,,,,,,,,,,,(n.),n.複數：bees,,,,,,,,,,GiuSFyZJ37w
國中,,,A1,,1200-動物與昆蟲-2,bird,/bɝd/,鳥,A bird flew past the window.,一隻鳥飛過窗戶。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,bug,/bʌg/,昆蟲,A bug flew into the room.,一隻蟲子飛進了房間。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,butterfly,/ˋbʌtɚ͵flaɪ/,蝴蝶,The butterfly landed on the flower.,蝴蝶停在花朵上。,,,,,,,,,,,,(n.),n.複數：butterflies,,,,,,,,,,GiuSFyZJ37w
國中,,,A2,,1200-動物與昆蟲-2,snake,/snek/,蛇,Be careful; there’s a snake in the grass.,小心，草叢裡有蛇。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,spider,/ˋspaɪdɚ/,蜘蛛,A spider spun a web in the corner.,一隻蜘蛛在角落結了網。,,,,,,,,,,,,(n.),n.複數：spiders,,,,,,,,,,GiuSFyZJ37w
國中,,,A1,,1200-動物與昆蟲-2,fish,/fɪʃ/,魚,We caught a big fish in the lake.,我們在湖裡抓到了一條大魚。,,,,,,,,,,,,(n.),,,,,,,,,,,GiuSFyZJ37w
國中,,,,,1200-動物與昆蟲-2,turtle,/ˋtɝt!/,烏龜,The turtle moved slowly across the road.,烏龜慢慢地爬過馬路。,,,,,,,,,,,,(n.),"n.複數：turtles, turtle",,,,,,,,,,GiuSFyZJ37w
國中,,,B1,,1200-動物與昆蟲-2,bite,/baɪt/,咬,The dog bit the man.,狗咬了那個人。,,,,,,,,,,,,(v.),,,,,,,,,,,GiuSFyZJ37w
國中,,,B2,,1200-動物與昆蟲-2,tail,/tel/,尾巴,The dog wagged its tail happily.,狗開心地搖著尾巴。,,,,,,,,,,,,(n.),n.複數：tails,,,,,,,,,,GiuSFyZJ37w
國中,,,A1,,1200-人格特質-1,beautiful,/ˋbjutəfəl/,美麗的,The sunset was beautiful.,日落非常美麗。,,,,,,,,,,,,(adj.),adj.比較級：more beautiful；最高級：most beautiful,,"pretty, lovely",ugly,,,,,,,1CWokq8xU50
國中,,,B1,,1200-人格特質-1,blind,/blaɪnd/,失明的,The old man is blind.,這位老人失明了。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,,,1200-人格特質-1,cute,/kjut/,可愛的,The puppy looks so cute!,這隻小狗看起來真可愛！,,,,,,,,,,,,(adj.),adj.比較級：cuter；最高級：cutest,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,fat,/fæt/,肥胖的,Eating too much junk food can make you fat.,吃太多垃圾食品會讓你變胖。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,B1,,1200-人格特質-1,handsome,/ˋhænsəm/,英俊的,The actor is very handsome.,這位演員非常英俊。,,,,,,,,,,,,(adj.),adj.比較級：handsomer；最高級：handsomest,,"good-looking, attractive",,,,,,,,1CWokq8xU50
國中,,,A2,,1200-人格特質-1,heavy,/ˋhɛvɪ/,重的,The box is too heavy for me to lift.,這個箱子太重了，我搬不動。,,,,,,,,,,,,(adj.),adj.比較級：heavier；最高級：heaviest,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,old,/old/,老的,"My grandfather is very old, but still healthy.",我祖父很老了，但仍然健康。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A2,,1200-人格特質-1,pretty,/ˋprɪtɪ/,漂亮的,She looks pretty in that dress.,她穿那件裙子看起來很漂亮。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,short,/ʃɔrt/,短的,Her hair is very short.,她的頭髮很短。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,slim,/slɪm/,苗條的,She has a slim waist.,她有苗條的腰身。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,tall,/tɔl/,高的,He is the tallest boy in the class.,他是班上最高的男孩。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A2,,1200-人格特質-1,thin,/θɪn/,薄的,The paper is very thin.,這張紙很薄。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,B1,,1200-人格特質-1,ugly,/ˋʌglɪ/,醜陋的,The monster in the movie was very ugly.,電影裡的怪物非常醜陋。,,,,,,,,,,,,(adj.),adj.比較級：uglier；最高級：ugliest,,unattractive,beautiful,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,young,/jʌŋ/,年輕的,She is young and full of energy.,她年輕且充滿活力。,,,,,,,,,,,,(adj.),,,,old,,,,,,,1CWokq8xU50
國中,,,A2,,1200-人格特質-1,angry,/ˋæŋgrɪ/,生氣的,Don’t be angry with me.,不要生我的氣。,,,,,,,,,,,,(adj.),adj.比較級：angrier；最高級：angriest,,mad,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,bad,/bæd/,壞的,This apple tastes bad.,這個蘋果味道不好。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,bored,/bɔrd/,厭倦的,I’m bored with this game.,我對這個遊戲感到厭倦。,,,,,,,,,,,,(adj.),,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,boring,[`bɔrɪŋ],令人無聊的,This movie is really long and boring.,這部電影真的很長又很無聊。,,,,,,,,,,,,(adj.),,,dull,,,,,,,,1CWokq8xU50
國中,,,B1,,1200-人格特質-1,brave,/brev/,勇敢的,The soldier was very brave.,這名士兵非常勇敢。,,,,,,,,,,,,(adj.),adj.比較級：braver；最高級：bravest,,,,,,,,,,1CWokq8xU50
國中,,,A1,,1200-人格特質-1,busy,/ˋbɪzɪ/,忙碌的,She is always busy with her work.,她總是忙於工作。,,,,,,,,,,,,(adj.),adj.比較級：busier；最高級：busiest,,,,,,,,,,1CWokq8xU50
國中,,,A2,,1200-人格特質-2,careful,/ˋkɛrfəl/,小心的,Be careful when crossing the street.,過馬路時要小心。,,,,,,,,,,,,(adj.),adj.比較級：more careful；最高級：most careful,,,,,,,,,,wscU-kes8GE
國中,,,A2,,1200-人格特質-2,cool,/kul/,涼的,The weather is cool today.,今天天氣涼爽。,,,,,,,,,,,,(adj.),,,,,,,,,,,wscU-kes8GE
國中,,,A2,,1200-人格特質-2,crazy,/ˋkrezɪ/,瘋狂的,He went crazy after hearing the news.,聽到這個消息後，他瘋了。,,,,,,,,,,,,(adj.),adj.比較級：crazier；最高級：craziest,,,,,,,,,,wscU-kes8GE
國中,,,A1,,1200-人格特質-2,excited,[ɪk`saɪtɪd],感到興奮的,I am so excited about the school trip tomorrow.,我對明天的學校旅行感到非常興奮。,,,,,,,,,,,,(adj.),,,,,,,,,,,wscU-kes8GE
國中,,,A1,,1200-人格特質-2,exciting,[ɪk`saɪtɪŋ],令人興奮的,The soccer game was very exciting.,這場足球賽非常令人興奮。,,,,,,,,,,,,(adj.),,,,,,,,,,,wscU-kes8GE
國中,,,A1,,1200-人格特質-2,famous,/ˋfeməs/,著名的,This actor is famous all over the world.,這位演員舉世聞名。,,,,,,,,,,,,(adj.),,,,,,,,,,,wscU-kes8GE
