出版社,年級,學期,冊次,課次,均一知識樹slug,均一知識樹URL,均一現有label,WordGym label,WordGym URL (GCS),全課複習 anchor
翰林,七年級,114一下,B2,U5,h-j-114-vocab-b2-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u5,H-J-114B2U5,HL_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U5#/,#topic-page-anchor-h-j-114-vocab-b2-u5-s2
翰林,七年級,114一下,B2,U6,h-j-114-vocab-b2-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/h-j-vocab-7/h-j-114-vocab-b2/h-j-114-vocab-b2-u6,H-J-114B2U6,HL_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B2_U6#/,#topic-page-anchor-h-j-114-vocab-b2-u6-s2
翰林,八年級,114二上,B3,U1,h-j-114-vocab-b3-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u1,H-J-114B3U1,HL_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U1#/,#topic-page-anchor-h-j-114-vocab-b3-u1-s2
翰林,八年級,114二上,B3,U2,h-j-114-vocab-b3-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u2,H-J-114B3U2,HL_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U2#/,#topic-page-anchor-h-j-114-vocab-b3-u2-s2
翰林,八年級,114二上,B3,U3,h-j-114-vocab-b3-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u3,H-J-114B3U3,HL_B3_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U3#/,#topic-page-anchor-h-j-114-vocab-b3-u3-s2
翰林,八年級,114二上,B3,U4,h-j-114-vocab-b3-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u4,H-J-114B3U4,HL_B3_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U4#/,#topic-page-anchor-h-j-114-vocab-b3-u4-s2
翰林,八年級,114二上,B3,U5,h-j-114-vocab-b3-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u5,H-J-114B3U5,HL_B3_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U5#/,#topic-page-anchor-h-j-114-vocab-b3-u5-s2
翰林,八年級,114二上,B3,U6,h-j-114-vocab-b3-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b3/h-j-114-vocab-b3-u6,H-J-114B3U6,HL_B3_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B3_U6#/,#topic-page-anchor-h-j-114-vocab-b3-u6-s2
翰林,八年級,114二下,B4,U1,h-j-114-vocab-b4-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u1,H-J-114B4U1,HL_B4_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U1#/,#topic-page-anchor-h-j-114-vocab-b4-u1-s2
翰林,八年級,114二下,B4,U2,h-j-114-vocab-b4-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u2,H-J-114B4U2,HL_B4_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U2#/,#topic-page-anchor-h-j-114-vocab-b4-u2-s2
翰林,八年級,114二下,B4,U3,h-j-114-vocab-b4-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u3,H-J-114B4U3,HL_B4_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U3#/,#topic-page-anchor-h-j-114-vocab-b4-u3-s2
翰林,八年級,114二下,B4,U4,h-j-114-vocab-b4-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u4,H-J-114B4U4,HL_B4_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U4#/,#topic-page-anchor-h-j-114-vocab-b4-u4-s2
翰林,八年級,114二下,B4,U5,h-j-114-vocab-b4-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u5,H-J-114B4U5,HL_B4_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U5#/,#topic-page-anchor-h-j-114-vocab-b4-u5-s2
翰林,八年級,114二下,B4,U6,h-j-114-vocab-b4-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/h-j-vocab-8/h-j-114-vocab-b4/h-j-114-vocab-b4-u6,H-J-114B4U6,HL_B4_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B4_U6#/,#topic-page-anchor-h-j-114-vocab-b4-u6-s2
翰林,九年級,114三上,B5,U1,h-j-114-vocab-b5-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u1,H-J-114B5U1,HL_B5_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U1#/,#topic-page-anchor-h-j-114-vocab-b5-u1-s2
翰林,九年級,114三上,B5,U2,h-j-114-vocab-b5-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u2,H-J-114B5U2,HL_B5_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U2#/,#topic-page-anchor-h-j-114-vocab-b5-u2-s2
翰林,九年級,114三上,B5,U3,h-j-114-vocab-b5-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u3,H-J-114B5U3,HL_B5_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U3#/,#topic-page-anchor-h-j-114-vocab-b5-u3-s2
翰林,九年級,114三上,B5,U4,h-j-114-vocab-b5-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u4,H-J-114B5U4,HL_B5_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U4#/,#topic-page-anchor-h-j-114-vocab-b5-u4-s2
翰林,九年級,114三上,B5,U5,h-j-114-vocab-b5-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u5,H-J-114B5U5,HL_B5_U5,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U5#/,#topic-page-anchor-h-j-114-vocab-b5-u5-s2
翰林,九年級,114三上,B5,U6,h-j-114-vocab-b5-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b5/h-j-114-vocab-b5-u6,H-J-114B5U6,HL_B5_U6,https://www.jutor.ai/event/wordgym/index.html?label=HL_B5_U6#/,#topic-page-anchor-h-j-114-vocab-b5-u6-s2
翰林,九年級,114三下,B6,U1,h-j-114-vocab-b6-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b6/h-j-114-vocab-b6-u1,H-J-114B6U1,HL_B6_U1,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U1#/,#topic-page-anchor-h-j-114-vocab-b6-u1-s2
翰林,九年級,114三下,B6,U2,h-j-114-vocab-b6-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b6/h-j-114-vocab-b6-u2,H-J-114B6U2,HL_B6_U2,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U2#/,#topic-page-anchor-h-j-114-vocab-b6-u2-s2
翰林,九年級,114三下,B6,U3,h-j-114-vocab-b6-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b6/h-j-114-vocab-b6-u3,H-J-114B6U3,HL_B6_U3,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U3#/,#topic-page-anchor-h-j-114-vocab-b6-u3-s2
翰林,九年級,114三下,B6,U4,h-j-114-vocab-b6-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/h-j-vocab-9/h-j-114-vocab-b6/h-j-114-vocab-b6-u4,H-J-114B6U4,HL_B6_U4,https://www.jutor.ai/event/wordgym/index.html?label=HL_B6_U4#/,#topic-page-anchor-h-j-114-vocab-b6-u4-s2
康軒,七年級,114一上,B1,U1,k-j-114-vocab-b1-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u1,K-J-114B1U1,KH_B1_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U1#/,#topic-page-anchor-k-j-114-vocab-b1-u1-s2
康軒,七年級,114一上,B1,U2,k-j-114-vocab-b1-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u2,K-J-114B1U2,KH_B1_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U2#/,#topic-page-anchor-k-j-114-vocab-b1-u2-s2
康軒,七年級,114一上,B1,U3,k-j-114-vocab-b1-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u3,K-J-114B1U3,KH_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U3#/,#topic-page-anchor-k-j-114-vocab-b1-u3-s2
康軒,七年級,114一上,B1,U4,k-j-114-vocab-b1-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u4,K-J-114B1U4,KH_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U4#/,#topic-page-anchor-k-j-114-vocab-b1-u4-s2
康軒,七年級,114一上,B1,U5,k-j-114-vocab-b1-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u5,K-J-114B1U5,KH_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U5#/,#topic-page-anchor-k-j-114-vocab-b1-u5-s2
康軒,七年級,114一上,B1,U6,k-j-114-vocab-b1-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b1/k-j-114-vocab-b1-u6,K-J-114B1U6,KH_B1_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B1_U6#/,#topic-page-anchor-k-j-114-vocab-b1-u6-s2
康軒,七年級,114一下,B2,U1,k-j-114-vocab-b2-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u1,K-J-114B2U1,KH_B2_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U1#/,#topic-page-anchor-k-j-114-vocab-b2-u1-s2
康軒,七年級,114一下,B2,U2,k-j-114-vocab-b2-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u2,K-J-114B2U2,KH_B2_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U2#/,#topic-page-anchor-k-j-114-vocab-b2-u2-s2
康軒,七年級,114一下,B2,U3,k-j-114-vocab-b2-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u3,K-J-114B2U3,KH_B2_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U3#/,#topic-page-anchor-k-j-114-vocab-b2-u3-s2
康軒,七年級,114一下,B2,U4,k-j-114-vocab-b2-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u4,K-J-114B2U4,KH_B2_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U4#/,#topic-page-anchor-k-j-114-vocab-b2-u4-s2
康軒,七年級,114一下,B2,U5,k-j-114-vocab-b2-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u5,K-J-114B2U5,KH_B2_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U5#/,#topic-page-anchor-k-j-114-vocab-b2-u5-s2
康軒,七年級,114一下,B2,U6,k-j-114-vocab-b2-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/k-j-vocab-7/k-j-114-vocab-b2/k-j-114-vocab-b2-u6,K-J-114B2U6,KH_B2_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B2_U6#/,#topic-page-anchor-k-j-114-vocab-b2-u6-s2
康軒,八年級,114二上,B3,U1,k-j-114-vocab-b3-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u1,K-J-114B3U1,KH_B3_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U1#/,#topic-page-anchor-k-j-114-vocab-b3-u1-s2
康軒,八年級,114二上,B3,U2,k-j-114-vocab-b3-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u2,K-J-114B3U2,KH_B3_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U2#/,#topic-page-anchor-k-j-114-vocab-b3-u2-s2
康軒,八年級,114二上,B3,U3,k-j-114-vocab-b3-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u3,K-J-114B3U3,KH_B3_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U3#/,#topic-page-anchor-k-j-114-vocab-b3-u3-s2
康軒,八年級,114二上,B3,U4,k-j-114-vocab-b3-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u4,K-J-114B3U4,KH_B3_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U4#/,#topic-page-anchor-k-j-114-vocab-b3-u4-s2
康軒,八年級,114二上,B3,U5,k-j-114-vocab-b3-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u5,K-J-114B3U5,KH_B3_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U5#/,#topic-page-anchor-k-j-114-vocab-b3-u5-s2
康軒,八年級,114二上,B3,U6,k-j-114-vocab-b3-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b3/k-j-114-vocab-b3-u6,K-J-114B3U6,KH_B3_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B3_U6#/,#topic-page-anchor-k-j-114-vocab-b3-u6-s2
康軒,八年級,114二下,B4,U1,k-j-114-vocab-b4-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u1,K-J-114B4U1,KH_B4_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U1#/,#topic-page-anchor-k-j-114-vocab-b4-u1-s2
康軒,八年級,114二下,B4,U2,k-j-114-vocab-b4-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u2,K-J-114B4U2,KH_B4_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U2#/,#topic-page-anchor-k-j-114-vocab-b4-u2-s2
康軒,八年級,114二下,B4,U3,k-j-114-vocab-b4-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u3,K-J-114B4U3,KH_B4_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U3#/,#topic-page-anchor-k-j-114-vocab-b4-u3-s2
康軒,八年級,114二下,B4,U4,k-j-114-vocab-b4-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u4,K-J-114B4U4,KH_B4_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U4#/,#topic-page-anchor-k-j-114-vocab-b4-u4-s2
康軒,八年級,114二下,B4,U5,k-j-114-vocab-b4-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u5,K-J-114B4U5,KH_B4_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U5#/,#topic-page-anchor-k-j-114-vocab-b4-u5-s2
康軒,八年級,114二下,B4,U6,k-j-114-vocab-b4-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior08/k-j-vocab-8/k-j-114-vocab-b4/k-j-114-vocab-b4-u6,K-J-114B4U6,KH_B4_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B4_U6#/,#topic-page-anchor-k-j-114-vocab-b4-u6-s2
康軒,九年級,114三上,B5,U1,k-j-114-vocab-b5-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u1,K-J-114B5U1,KH_B5_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U1#/,#topic-page-anchor-k-j-114-vocab-b5-u1-s2
康軒,九年級,114三上,B5,U2,k-j-114-vocab-b5-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u2,K-J-114B5U2,KH_B5_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U2#/,#topic-page-anchor-k-j-114-vocab-b5-u2-s2
康軒,九年級,114三上,B5,U3,k-j-114-vocab-b5-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u3,K-J-114B5U3,KH_B5_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U3#/,#topic-page-anchor-k-j-114-vocab-b5-u3-s2
康軒,九年級,114三上,B5,U4,k-j-114-vocab-b5-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u4,K-J-114B5U4,KH_B5_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U4#/,#topic-page-anchor-k-j-114-vocab-b5-u4-s2
康軒,九年級,114三上,B5,U5,k-j-114-vocab-b5-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u5,K-J-114B5U5,KH_B5_U5,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U5#/,#topic-page-anchor-k-j-114-vocab-b5-u5-s2
康軒,九年級,114三上,B5,U6,k-j-114-vocab-b5-u6,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b5/k-j-114-vocab-b5-u6,K-J-114B5U6,KH_B5_U6,https://www.jutor.ai/event/wordgym/index.html?label=KH_B5_U6#/,#topic-page-anchor-k-j-114-vocab-b5-u6-s2
康軒,九年級,114三下,B6,U1,k-j-114-vocab-b6-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b6/k-j-114-vocab-b6-u1,K-J-114B6U1,KH_B6_U1,https://www.jutor.ai/event/wordgym/index.html?label=KH_B6_U1#/,#topic-page-anchor-k-j-114-vocab-b6-u1-s2
康軒,九年級,114三下,B6,U2,k-j-114-vocab-b6-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b6/k-j-114-vocab-b6-u2,K-J-114B6U2,KH_B6_U2,https://www.jutor.ai/event/wordgym/index.html?label=KH_B6_U2#/,#topic-page-anchor-k-j-114-vocab-b6-u2-s2
康軒,九年級,114三下,B6,U3,k-j-114-vocab-b6-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b6/k-j-114-vocab-b6-u3,K-J-114B6U3,KH_B6_U3,https://www.jutor.ai/event/wordgym/index.html?label=KH_B6_U3#/,#topic-page-anchor-k-j-114-vocab-b6-u3-s2
康軒,九年級,114三下,B6,U4,k-j-114-vocab-b6-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior09/k-j-vocab-9/k-j-114-vocab-b6/k-j-114-vocab-b6-u4,K-J-114B6U4,KH_B6_U4,https://www.jutor.ai/event/wordgym/index.html?label=KH_B6_U4#/,#topic-page-anchor-k-j-114-vocab-b6-u4-s2
南一,七年級,114一上,B1,U1,n-j-114-vocab-b1-u1,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u1,N-J-114B1U1,NI_B1_U1,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U1#/,#topic-page-anchor-n-j-114-vocab-b1-u1-s2
南一,七年級,114一上,B1,U2,n-j-114-vocab-b1-u2,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u2,N-J-114B1U2,NI_B1_U2,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U2#/,#topic-page-anchor-n-j-114-vocab-b1-u2-s2
南一,七年級,114一上,B1,U3,n-j-114-vocab-b1-u3,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u3,N-J-114B1U3,NI_B1_U3,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U3#/,#topic-page-anchor-n-j-114-vocab-b1-u3-s2
南一,七年級,114一上,B1,U4,n-j-114-vocab-b1-u4,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u4,N-J-114B1U4,NI_B1_U4,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U4#/,#topic-page-anchor-n-j-114-vocab-b1-u4-s2
南一,七年級,114一上,B1,U5,n-j-114-vocab-b1-u5,https://www.junyiacademy.org/junyi-english/eng-junior/eng-junior07/n-j-vocab-7/n-j-114-vocab-b1/n-j-114-vocab-b1-u5,N-J-114B1U5,NI_B1_U5,https://www.jutor.ai/event/wordgym/index.html?label=NI_B1_U5#/,#topic-page-anchor-n-j-114-vocab-b1-u5-s2
